company,deal_name,asset_type,filing_date,cutoff_date,issuing_entity_cik,registration_number,depositor,sponsor_servicer,aggregate_principal_amount,total_principal_balance,number_of_receivables,avg_principal_balance,wa_apr,wa_fico,wa_original_term,wa_remaining_term,aggregate_securitization_value,aggregate_residual_value,total_trust_receivables,number_of_accounts,number_of_loans,number_of_properties,wa_ltv,wa_dscr,first_payment_date,credit_enhancement_types,filename
AMERICAN_EXPRESS,,credit_card_revolving,2025-07-10,,,333-263871,American Express Receivables Financing Corporation III LLC,,$250000000,,,,,,,,,,$26797475459,,,,,,"April 1, 2026",subordination,AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-07-10_424H_clean.txt
AMERICAN_HONDA,American Honda Receivables LLC,auto_loans,2024-05-07,"April 1, 2024",,333-261436-08,AMERICAN HONDA RECEIVABLES LLC,AMERICAN HONDA FINANCE CORP,$1473690000,$1511480644.21,64602,$23396.81,4.73,769,63.16,50.94,,,,,,,,,"June 18, 2024",,AMERICAN_HONDA_RECEIVABLES_LLC_2024-05-07_424H_clean.txt
AMERICAN_HONDA,American Honda Receivables LLC,auto_loans,2024-08-06,"July 1, 2024",,333-261436-09,AMERICAN HONDA RECEIVABLES LLC,American Honda Receivables LLC,$1578950000,$1619433200.90,71001,$1001.14,4.72,10,24,7,,,,,,,,,"September 23, 2024",excess interest/spread,AMERICAN_HONDA_RECEIVABLES_LLC_2024-08-06_424H_clean.txt
AMERICAN_HONDA,American Honda Receivables LLC,auto_loans,2024-10-08,"September 1, 2024",,333-261436-10,Honda Receivables LLC,American Honda Receivables LLC,$1368422000,$1403514190.13,60618,$23153.42,,768,61.23,49.41,,,,,,,,,"November 15, 2024",,AMERICAN_HONDA_RECEIVABLES_LLC_2024-10-08_424H_clean.txt
AMERICAN_HONDA,American Honda Receivables LLC,auto_loans,2025-01-29,"January 1, 2025",,333-261436-11,AMERICAN HONDA RECEIVABLES LLC,American Honda Receivables LLC,$1684211000,$1727396411.74,74011,$23339.73,,768,61.72,50.39,,,,,,,,,"March 21, 2025",,AMERICAN_HONDA_RECEIVABLES_LLC_2025-01-29_424H_clean.txt
AMERICAN_HONDA,American Honda Receivables LLC,auto_loans,2025-04-24,"April 1, 2025",,333-283544-01,AMERICAN HONDA RECEIVABLES LLC,American Honda Receivables LLC,$1684220000,$602000000.,73301,$23565.95,,769,62.07,50.08,,,,,,,,,"June 16, 2025",,AMERICAN_HONDA_RECEIVABLES_LLC_2025-04-24_424H_clean.txt
AMERICAN_HONDA,American Honda Receivables LLC,auto_loans,2025-07-30,"July 1, 2025",,333-283544-02,AMERICAN HONDA RECEIVABLES LLC,American Honda Receivables LLC,$1684220000,$584000000.,73534,$23491.24,,769,61.93,49.40,,,,,,,,,"September 22, 2025",,AMERICAN_HONDA_RECEIVABLES_LLC_2025-07-30_424H_clean.txt
AMERICAN_HONDA,Honda Auto Receivables 2025-4 Owner Trust,auto_loans,2025-10-29,"October 1, 2025",,333-283544-03,AMERICAN HONDA RECEIVABLES LLC,American Honda Receivables LLC,$1684220000,$602000000.,73005,$23661.54,0.90,769,61.90,49.47,,,,,,,,,"December 15, 2025",,AMERICAN_HONDA_RECEIVABLES_LLC_2025-10-29_424H_clean.txt
AMERICAN_HONDA,Honda Auto Receivables 2026-1 Owner Trust,auto_loans,2026-02-03,"January 1, 2026",,333-283544-04,AMERICAN HONDA RECEIVABLES LLC,American Honda Receivables LLC,$1684211000,$2105264000,70633,$24455.94,0.90,770,61.60,50.29,,,,,,,,,"March 23, 2026",,AMERICAN_HONDA_RECEIVABLES_LLC_2026-02-03_424H_clean.txt
AMERICAN_HONDA,,auto_loans,2026-04-29,,,333-283544-05,AMERICAN HONDA RECEIVABLES LLC,AMERICAN HONDA FINANCE CORP,$1578950000,$1842110000,67831,$23874.62,,768,61.89,49.73,,,,,,,,,"January 1, 2019",,AMERICAN_HONDA_RECEIVABLES_LLC_2026-04-29_424H_clean.txt
AMERICAN_HONDA,Honda Auto Receivables 2026-3 Owner Trust,auto_loans,2026-07-29,,,333-283544-06,AMERICAN HONDA RECEIVABLES LLC,AMERICAN HONDA FINANCE CORP,$1578950000,$1842110000,65408,$24758.99,0.90,770,62.69,50.65,,,,,,,,,"September 18, 2026",,AMERICAN_HONDA_RECEIVABLES_LLC_2026-07-29_424H_clean.txt
BMW,BMW Vehicle Lease Trust 2024-1,auto_leases,2024-02-01,"January 31, 2024",,333-260903,BMW Auto Leasing LLC,BMW Auto Leasing LLC,$1000000000,,,,,,34,28,$1496835259.27,$596136269.46,,,,,,,"March 25, 2024","reserve account, overcollateralization, excess interest/spread",BMW_AUTO_LEASING_LLC_2024-02-01_424H_clean.txt
BMW,BMW Vehicle Lease Trust 2024-2,auto_leases,2024-09-26,"September 30, 2024",,333-260903,BMW Auto Leasing LLC,BMW Auto Leasing LLC,$1000000000,,,,,,34,28,$1175088139.61,$604340859.07,,,,,,,"November 25, 2024","reserve account, overcollateralization, excess interest/spread",BMW_AUTO_LEASING_LLC_2024-09-26_424H_clean.txt
BMW,BMW Vehicle Lease Trust 2025-1,auto_leases,2025-05-29,"May 31, 2025",,333-283340,BMW Auto Leasing LLC,,$1100000000,,,,,,37,26,$1266551527.31,$683456525.14,,,,,,,"July 25, 2025","reserve account, overcollateralization, excess interest/spread",BMW_AUTO_LEASING_LLC_2025-05-29_424H_clean.txt
BMW,BMW Vehicle Lease Trust 2025-2,auto_leases,2025-10-02,"September 30, 2025",,333-283340,BMW Auto Leasing LLC,BMW Auto Leasing LLC,$1000000000,,,,,,37,25,$1151410485.95,$659088050.02,,,,,,,"November 25, 2025","reserve account, overcollateralization, excess interest/spread",BMW_AUTO_LEASING_LLC_2025-10-02_424H_clean.txt
BMW,BMW Vehicle Lease Trust 2026-1,auto_leases,2026-04-09,"March 31, 2026",,333-283340,BMW Auto Leasing LLC,BMW Auto Leasing LLC,$1250000000,,,,,,37,26,$1439279232.99,$807579908.17,,,,,,,"May 26, 2026","reserve account, overcollateralization, excess interest/spread",BMW_AUTO_LEASING_LLC_2026-04-09_424H_clean.txt
BRIDGECREST,Bridgecrest Lending Auto Securitization Trust 2024-2,auto_loans_subprime,2024-04-11,"March 31, 2024",,333-271899,Bridgecrest Auto Funding LLC,administrator and the custodian with respect to the receivables. The princ,$436700000,,,,23.16,552,71,70,,,,,,,,,"May 15, 2024",,Bridgecrest_Auto_Funding_LLC_2024-04-11_424H_clean.txt
BRIDGECREST,Bridgecrest Lending Auto Securitization Trust 2024-3,auto_loans_subprime,2024-07-11,,,333-271899,Bridgecrest Auto Funding LLC,administrator and the custodian with respect to the receivables. The princ,$526510000,,,,22.29,554,,,,,,,,,,,"August 15, 2024",,Bridgecrest_Auto_Funding_LLC_2024-07-11_424H_clean.txt
BRIDGECREST,Bridgecrest Lending Auto Securitization Trust 2024-4,auto_loans_subprime,2024-10-10,"September 30, 2024",,333-271899,Bridgecrest Auto Funding LLC,Acceptance Corp,$538980000,,,,22.61,555,71,68,,,,,,,,,"November 15, 2024",,Bridgecrest_Auto_Funding_LLC_2024-10-10_424H_clean.txt
BRIDGECREST,Bridgecrest Lending Auto Securitization Trust 2025-1,auto_loans_subprime,2025-01-15,"December 31, 2024",,333-271899,Bridgecrest Auto Funding LLC,"trust from all risks that could impact the performance of the receivables, inc",$503240000,,,,22.49,553,71,68,,,,,,,,,"February 18, 2025",,Bridgecrest_Auto_Funding_LLC_2025-01-15_424H_clean.txt
BRIDGECREST,Bridgecrest Lending Auto Securitization Trust 2025-2,auto_loans_subprime,2025-05-12,,,333-271899,Bridgecrest Auto Funding LLC,"grantor trust from all risks that could impact the performance of the receivables, inc",$400640000,$512000343.00,23892,,22.15,555,71,69,,,,,,,,,"March 30, 2026",,Bridgecrest_Auto_Funding_LLC_2025-05-12_424H_clean.txt
BRIDGECREST,Bridgecrest Lending Auto Securitization Trust 2025-3,auto_loans_subprime,2025-07-16,,,333-271899,Bridgecrest Auto Funding LLC,to the receivables. The princ,$431750000,$550000413.00,26229,,22.04,,71,68,,,,,,,,,,"reserve account, overcollateralization, subordination, excess interest/spread",Bridgecrest_Auto_Funding_LLC_2025-07-16_424H_clean.txt
BRIDGECREST,Bridgecrest Lending Auto Securitization Trust 2025-4,auto_loans_subprime,2025-10-08,,,333-271899,Bridgecrest Auto Funding LLC,to the receivables. The princ,$474040000,$600022735.53,25770,,22.02,,71,70,,,,,,,,,,,Bridgecrest_Auto_Funding_LLC_2025-10-08_424H_clean.txt
